Game slug,Epic Games rating,Number of raters, Bayes rating
hitman-3,4.79,19729,4.66
football-manager-2022,4.80,11799,4.63
hades,4.92,5880,4.61
sifu,4.81,8576,4.61
frostpunk,4.73,10133,4.59
unrailed-e19729,4.64,21333,4.58
kingdom-come-deliverance,4.71,8337,4.58
pc-building-simulator,4.67,11171,4.58
supraland,4.61,24748,4.57
multiversus,4.57,53569,4.56
lego-star-wars-the-skywalker-saga,4.80,2456,4.55
rocket-league,4.55,342587,4.55
cyberpunk-2077,4.57,23028,4.55
dying-light,4.71,2975,4.54
disco-elysium,4.87,1448,4.54
kena-bridge-of-spirits,4.68,3057,4.54
rogue-legacy-2,4.86,1280,4.54
fall-guys,4.54,1011861,4.54
dying-light-2-stay-human,4.59,6775,4.54
ring-of-pain,4.56,12621,4.54
pillars-of-eternity,4.65,2579,4.53
pathfinder-wrath-of-the-righteous,4.76,1247,4.53
salt-and-sanctuary,4.61,2853,4.53
this-war-of-mine,4.72,999,4.53
house-flipper,4.72,972,4.53
my-time-at-sandrock,4.68,845,4.53
bugsnax,4.82,392,4.52
zombie-army-4-dead-war,4.68,687,4.52
horizon-chase-turbo,4.61,1200,4.52
skul-the-hero-slayer,4.69,527,4.52
insurgency-sandstorm,4.59,1242,4.52
supraland-six-inches-under-dd0220,4.76,199,4.52
sunless-sea,4.63,330,4.52
hand-of-fate-2,4.57,709,4.52
alan-wake-remastered,4.57,482,4.52
warhammer-40000-chaos-gate-daemonhunters,4.58,362,4.52
grindstone,4.86,58,4.52
art-of-rally,4.88,52,4.52
f1-manager-2022,4.55,490,4.52
airborne-kingdom,4.72,61,4.52
haven,4.85,34,4.52
wildermyth-593344,4.73,40,4.52
session-skate-sim,4.58,97,4.52
grime,4.56,43,4.52
sonic-origins,4.53,146,4.52
souldiers-3f612b,4.54,63,4.52
hardspace-shipbreaker,4.56,27,4.52
the-tenants,4.53,76,4.52
aragami-2,4.52,77,4.52
spirit-of-the-island,4.46,24,4.52
the-surge,4.49,53,4.52
imagine-earth-7498e4,4.40,20,4.52
ken-follets-the-pillars-of-the-earth,4.51,332,4.52
my-lovely-wife-bef07f,4.40,25,4.52
the-caligula-effect-2-a51f60,4.41,32,4.52
good-company,4.47,74,4.52
gamedec,4.39,28,4.52
train-valley-ead642,4.39,28,4.52
redout-enhanced-edition,4.50,262,4.52
eiyuden-chronicle-rising,4.42,48,4.52
othercide-19bfa0,4.37,38,4.52
baldurs-gate-dark-alliance-2-14db6b,4.33,30,4.52
bassmaster-fishing-2022-ec4015,4.28,25,4.52
fishing-north-atlantic-9fbc5c,4.31,32,4.52
demons-tilt,4.49,257,4.52
townsmen-a-kingdom-rebuilt-07c09d,4.31,36,4.52
aer-memories-of-old,4.47,158,4.52
riverbond-782aa4,4.50,574,4.52
while-true-learn,4.50,806,4.52
absolute-drift,4.44,188,4.52
weird-west-906661,4.38,116,4.52
the-first-tree,4.17,47,4.52
arcadegeddon,4.49,781,4.52
house-party-ae8b27,4.38,165,4.52
crying-suns,4.49,887,4.52
crayta,4.21,86,4.52
verdun,4.50,1858,4.52
train-valley-2-3606da,3.99,82,4.52
chernobylite,4.01,140,4.51
defense-grid,4.45,1124,4.51
among-the-sleep-enhanced-edition,4.28,331,4.51
stranger-of-paradise-final-fantasy-origin,4.47,1816,4.51
galactic-civilizations-iv,4.23,407,4.51
hundred-days-winemaking-simulator,4.27,564,4.51
vampire-the-masquerade-swansong,4.19,703,4.51
pinball-fx,3.95,699,4.50
salt-and-sacrifice,4.30,2099,4.50
rumbleverse,4.44,54377,4.46
lawn-mowing-simulator-838bf3,4.08,4915,4.43
idle-champions-of-the-forgotten-realms,4.04,8807,4.36
shop-titans-d95c1c,3.96,12375,4.30
